pyrs[] yr[,1] yr[,2] yr[,3] yr[,4] h[,1] h[,2] h[,3] h[,4] age[] male[] nonw[] south[] urban[] educ[]
4 0 10 15 20 4 5 5 5 34 1 0 0 0 17
4 0 10 15 20 3 4 3 3 30 1 0 1 0 8
4 0 10 15 20 3 4 4 2 31 0 0 1 1 8
4 0 10 15 20 4 5 4 4 31 0 0 1 0 12
4 0 10 15 20 3 4 5 3 30 0 0 1 0 12
4 0 10 15 20 5 5 5 4 33 1 0 1 0 15
4 0 10 15 20 3 3 4 3 33 0 0 0 0 8
4 0 10 15 20 3 3 2 3 30 0 0 0 0 11
4 0 10 15 20 3 3 4 5 34 0 0 0 0 12
4 0 10 15 20 5 4 4 5 31 0 0 0 0 9
4 0 10 15 20 5 5 3 5 34 1 0 0 0 16
4 0 10 15 20 3 3 3 3 34 1 0 0 0 12
4 0 10 15 20 5 4 4 4 34 0 0 0 0 13
4 0 10 15 20 4 5 3 4 30 0 0 0 0 13
4 0 10 15 20 4 4 4 5 34 0 0 0 0 15
4 0 10 15 20 5 4 4 3 31 0 0 0 1 6
4 0 10 15 20 3 4 5 4 33 0 0 0 1 17
4 0 10 15 20 5 5 5 5 33 0 0 0 1 14
4 0 10 15 20 5 5 4 4 32 0 0 0 0 9
4 0 10 15 20 4 5 4 5 33 1 0 0 0 12
4 0 10 15 20 5 4 3 5 33 0 0 0 0 17
4 0 10 15 20 5 4 3 2 31 1 0 0 0 12
4 0 10 15 20 5 4 3 4 32 0 0 0 0 12
4 0 10 15 20 4 5 5 5 31 0 0 0 0 17
4 0 10 15 20 3 1 3 3 32 0 0 0 0 9
4 0 10 15 20 5 5 5 5 30 0 0 0 0 16
4 0 10 15 20 4 4 3 3 32 0 0 0 0 11
4 0 10 15 20 5 4 5 4 32 1 0 0 0 12
4 0 10 15 20 3 4 3 4 33 1 0 0 0 13
4 0 10 15 20 3 3 4 3 34 0 0 0 0 11
4 0 10 15 20 3 5 5 2 34 1 0 0 0 10
4 0 10 15 20 4 4 4 4 33 1 0 0 1 12
4 0 10 15 20 5 4 5 3 34 0 0 0 0 12
4 0 10 15 20 2 2 3 2 34 1 0 0 0 10
4 0 10 15 20 4 4 4 4 32 0 0 0 0 13
4 0 10 15 20 5 4 3 3 33 1 0 0 0 12
4 0 10 15 20 5 4 3 4 33 0 0 0 0 16
4 0 10 15 20 2 1 1 1 30 0 0 0 0 8
4 0 10 15 20 5 5 5 5 30 0 1 0 0 16
4 0 10 15 20 5 5 5 5 33 0 0 0 0 17
4 0 10 15 20 3 4 4 3 31 0 0 0 1 12
4 0 10 15 20 5 4 5 3 31 0 0 0 0 15
4 0 10 15 20 4 3 3 3 30 0 0 0 0 12
4 0 10 15 20 5 5 5 4 30 0 0 0 1 16
4 0 10 15 20 5 4 4 4 34 1 0 0 0 10
4 0 10 15 20 4 3 3 2 34 1 0 0 0 8
4 0 10 15 20 3 5 3 2 31 0 0 0 0 12
4 0 10 15 20 5 5 5 5 30 0 0 0 0 16
4 0 10 15 20 3 4 5 4 34 0 0 0 0 12
4 0 10 15 20 4 3 2 3 30 1 0 0 0 11
4 0 10 15 20 5 4 5 5 32 0 0 0 0 12
4 0 10 15 20 3 3 3 3 34 0 0 0 0 12
4 0 10 15 20 4 4 3 4 31 0 0 0 0 14
4 0 10 15 20 5 4 5 5 34 0 0 0 0 13
4 0 10 15 20 5 5 4 4 31 0 0 0 0 12
4 0 10 15 20 5 4 4 3 32 0 0 0 0 12
4 0 10 15 20 4 4 4 5 32 1 0 0 0 15
4 0 10 15 20 5 4 3 2 30 0 0 0 1 12
4 0 10 15 20 5 3 5 4 30 0 0 0 0 13
4 0 10 15 20 5 4 5 4 30 0 0 0 1 16
4 0 10 15 20 5 4 4 4 33 0 0 0 0 12
4 0 10 15 20 5 5 5 5 30 0 0 0 0 12
4 0 10 15 20 4 3 4 4 30 0 0 0 1 10
4 0 10 15 20 5 5 5 5 33 1 0 0 1 16
4 0 10 15 20 3 3 4 3 31 1 0 0 1 10
4 0 10 15 20 5 4 3 4 31 0 1 0 1 16
4 0 10 15 20 5 4 4 4 32 1 0 0 0 12
4 0 10 15 20 5 5 5 5 32 1 0 0 0 13
4 0 10 15 20 4 3 4 3 34 1 0 0 0 12
4 0 10 15 20 4 5 3 4 31 1 0 0 0 16
4 0 10 15 20 3 4 5 5 34 1 0 0 0 12
4 0 10 15 20 5 5 4 5 32 1 0 0 0 10
4 0 10 15 20 5 5 5 5 32 0 0 0 0 17
4 0 10 15 20 4 5 5 5 32 0 0 0 0 12
4 0 10 15 20 5 4 4 4 30 0 0 0 0 12
4 0 10 15 20 5 5 4 5 31 1 0 0 0 14
4 0 10 15 20 5 5 4 5 30 0 0 0 0 17
4 0 10 15 20 4 5 5 4 30 0 0 0 1 12
4 0 10 15 20 5 4 4 3 30 1 0 0 1 16
4 0 10 15 20 5 5 5 3 33 0 0 0 0 12
4 0 10 15 20 4 3 4 4 31 0 0 0 0 12
4 0 10 15 20 5 5 3 3 32 1 0 0 1 12
4 0 10 15 20 4 5 4 4 32 1 0 0 0 12
4 0 10 15 20 4 4 4 4 30 0 0 0 0 16
4 0 10 15 20 5 4 2 3 32 0 0 0 0 12
4 0 10 15 20 5 5 5 5 32 0 0 0 0 14
4 0 10 15 20 3 3 2 2 34 0 0 1 0 7
4 0 10 15 20 3 5 5 5 31 0 0 1 0 13
4 0 10 15 20 5 5 5 3 33 0 0 1 0 12
4 0 10 15 20 4 4 4 5 32 0 1 1 0 15
4 0 10 15 20 4 5 5 4 33 0 0 1 0 16
4 0 10 15 20 3 3 2 2 33 1 0 1 0 7
4 0 10 15 20 5 5 5 1 34 1 0 1 0 14
4 0 10 15 20 5 4 4 4 30 1 0 1 0 12
4 0 10 15 20 4 3 5 4 33 1 0 1 0 12
4 0 10 15 20 5 5 4 3 32 0 0 1 0 12
4 0 10 15 20 4 4 5 4 30 0 0 1 0 12
4 0 10 15 20 4 3 3 3 31 1 0 1 0 13
4 0 10 15 20 4 5 3 4 31 1 0 1 0 12
4 0 10 15 20 5 5 5 4 30 0 0 0 0 17
4 0 10 15 20 3 3 3 4 31 0 0 0 0 11
4 0 10 15 20 5 5 5 5 30 0 0 0 0 12
4 0 10 15 20 4 4 4 4 31 0 0 0 0 12
4 0 10 15 20 3 3 4 3 31 0 0 0 0 12
4 0 10 15 20 5 5 5 5 31 1 0 0 0 14
4 0 10 15 20 5 5 3 4 34 0 0 1 0 13
4 0 10 15 20 4 4 3 3 34 0 0 1 0 17
4 0 10 15 20 4 5 4 4 33 0 0 1 0 14
4 0 10 15 20 4 4 4 4 30 1 1 1 0 13
4 0 10 15 20 5 5 4 5 32 0 0 1 0 12
4 0 10 15 20 5 5 5 4 34 0 0 1 0 12
4 0 10 15 20 5 4 5 5 34 0 0 1 0 12
4 0 10 15 20 5 5 4 4 30 0 0 1 0 12
4 0 10 15 20 3 4 3 3 34 0 0 1 0 12
4 0 10 15 20 5 5 5 4 30 0 0 1 0 13
4 0 10 15 20 4 3 2 3 33 0 1 1 0 12
4 0 10 15 20 5 4 5 5 32 0 0 1 0 13
4 0 10 15 20 4 4 4 2 31 1 0 0 0 13
4 0 10 15 20 5 5 5 5 32 1 1 0 0 14
4 0 10 15 20 4 4 3 4 31 1 0 0 0 12
4 0 10 15 20 5 5 5 5 34 1 0 0 0 17
4 0 10 15 20 2 3 3 3 33 0 1 0 0 12
4 0 10 15 20 5 4 5 5 30 1 0 0 0 12
4 0 10 15 20 4 4 4 5 32 1 0 0 0 15
4 0 10 15 20 5 5 5 5 30 1 0 0 0 12
4 0 10 15 20 2 4 4 2 30 0 0 0 0 9
4 0 10 15 20 5 4 4 4 34 1 0 0 0 17
4 0 10 15 20 5 5 5 5 33 0 0 0 0 10
4 0 10 15 20 3 3 3 5 34 0 0 0 1 13
4 0 10 15 20 3 2 1 1 32 0 0 0 0 13
4 0 10 15 20 4 4 4 4 33 1 0 0 0 17
4 0 10 15 20 4 5 3 2 34 1 0 0 1 14
4 0 10 15 20 5 4 4 4 32 0 0 1 0 16
4 0 10 15 20 3 3 4 4 30 0 0 1 0 13
4 0 10 15 20 5 5 5 5 33 0 1 1 1 15
4 0 10 15 20 5 4 4 4 30 0 0 1 1 12
4 0 10 15 20 5 5 5 5 31 1 0 1 1 13
4 0 10 15 20 2 3 3 2 32 0 0 1 0 10
4 0 10 15 20 1 4 3 2 30 0 1 1 1 12
4 0 10 15 20 3 4 4 4 31 0 0 1 0 12
4 0 10 15 20 3 5 4 5 30 0 0 1 0 12
4 0 10 15 20 2 2 3 1 32 0 0 0 1 9
4 0 10 15 20 5 5 5 5 30 0 0 0 0 16
4 0 10 15 20 2 3 3 3 34 0 0 0 1 11
4 0 10 15 20 4 4 4 4 30 0 0 0 0 12
4 0 10 15 20 4 4 4 3 31 0 0 0 1 12
4 0 10 15 20 4 2 4 4 34 1 0 0 0 12
4 0 10 15 20 3 4 3 3 31 0 0 0 0 13
4 0 10 15 20 1 1 2 1 32 1 0 0 0 9
4 0 10 15 20 4 5 5 5 34 0 0 0 0 13
4 0 10 15 20 3 4 4 5 34 1 0 0 0 14
4 0 10 15 20 4 4 4 4 30 0 0 0 0 13
4 0 10 15 20 5 5 5 5 32 1 0 1 0 12
4 0 10 15 20 4 5 5 5 31 0 0 1 0 10
4 0 10 15 20 3 5 5 5 34 1 0 1 0 12
4 0 10 15 20 5 5 5 5 33 1 0 1 0 9
4 0 10 15 20 5 5 5 5 34 0 0 1 0 11
4 0 10 15 20 5 5 5 5 33 0 0 1 0 17
4 0 10 15 20 5 4 4 4 33 0 0 1 0 12
4 0 10 15 20 3 3 3 3 30 0 1 0 1 16
4 0 10 15 20 3 4 4 4 33 0 0 0 0 13
4 0 10 15 20 5 5 5 4 32 0 0 0 0 17
4 0 10 15 20 3 5 4 4 30 0 0 1 0 11
4 0 10 15 20 4 4 3 3 32 0 1 1 1 14
4 0 10 15 20 2 2 4 2 32 0 0 1 0 12
4 0 10 15 20 3 3 2 1 30 0 1 1 0 12
4 0 10 15 20 4 4 3 3 32 0 1 1 0 11
4 0 10 15 20 4 2 1 4 32 0 1 1 0 9
4 0 10 15 20 5 3 4 3 32 0 0 1 0 10
4 0 10 15 20 3 1 5 4 31 0 0 1 0 13
4 0 10 15 20 5 5 5 5 31 0 0 1 0 13
4 0 10 15 20 4 2 3 2 31 0 0 1 0 13
4 0 10 15 20 2 4 1 2 34 0 0 1 0 12
4 0 10 15 20 5 5 4 4 32 1 0 1 0 12
4 0 10 15 20 3 3 2 2 32 0 1 1 1 11
4 0 10 15 20 3 3 3 4 31 0 0 1 0 12
4 0 10 15 20 5 2 3 2 33 0 0 1 0 11
4 0 10 15 20 5 4 4 3 30 0 0 1 0 10
4 0 10 15 20 4 5 3 5 32 0 0 1 0 12
4 0 10 15 20 5 3 3 5 30 1 0 1 0 12
4 0 10 15 20 4 3 3 1 34 1 0 1 1 14
4 0 10 15 20 3 3 4 3 33 0 1 1 1 13
4 0 10 15 20 4 3 4 3 34 0 0 0 0 13
4 0 10 15 20 3 3 4 3 34 0 0 0 0 11
4 0 10 15 20 5 4 5 5 31 1 0 0 0 14
